Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
55009;Carsa S.A.;2025-04-08;FINANCIACION MUSIMUNDO EN CARSA SA;FINANCIACION MUSIMUNDO;Pesos;10500000;100;24;70000;6;75;60,00;Todos los beneficiarios;,00;300,93;Fija;300,93;12500,00;Provincia de Misiones;
55009;Carsa S.A.;2025-04-08;FINANCIACION MUSIMUNDO EN CARSA SA;FINANCIACION MUSIMUNDO;Pesos;10500000;100;24;70000;6;75;60,00;Todos los beneficiarios;,00;300,93;Fija;300,93;12500,00;Provincia de Formosa;
55009;Carsa S.A.;2025-04-08;FINANCIACION MUSIMUNDO EN CARSA SA;FINANCIACION MUSIMUNDO;Pesos;10500000;100;24;70000;6;75;60,00;Todos los beneficiarios;,00;300,93;Fija;300,93;12500,00;Provincia de Buenos Aires;
55009;Carsa S.A.;2025-04-08;FINANCIACION MUSIMUNDO EN CARSA SA;FINANCIACION MUSIMUNDO;Pesos;10500000;100;24;70000;6;75;60,00;Todos los beneficiarios;,00;300,93;Fija;300,93;12500,00;Provincia del Chaco;
55011;Cetrogar S.A.;2026-08-03;CREDITOPERSONALCETROGAR;CREDITOCETROGAR;Pesos;5000000;50000;24;300000;6;74;30,00;Todos los beneficiarios;,00;209,11;Fija;286,76;140555,00;Todo el territorio nacional;
55012;CFN SRL;2026-08-18;PRESTAMO PERSONAL;PP;Pesos;10500000;35000;24;252450;6;80;40,00;Todos los beneficiarios;30,00;323,21;Fija;352,68;6666,00;Todo el territorio nacional;ITEM INFORMACION ADICIONAL CAMPO 12: NO SE COBRA COMISION SI LA CANCELACION ES TOTAL Y TRANSCURRIO LA CUARTA PARTE DEL PLAZO DEL PRESTAMO O 180 DIAS DE SU OTORGAMIENTO, DE AMBOS EL MAYOR.
55013;Cierto Argentina S.A.;2026-08-11;PRESTAMOS CIERTO ARGENTINA;CIERTO ARGENTINA;Pesos;5000000;1000;24;149116;4;85;50,00;Todos los beneficiarios;2,50;999,98;Fija;999,99;1337,00;Todo el territorio nacional;
55015;Coppel S.A.;2026-07-20;PRESTAMOPERSONAL;PP;Pesos;2047500;5000;12;0;0;75;,00;Todos los beneficiarios;,00;,00;Fija;,00;225000,00;Ciudad Autónoma de Buenos Aires;TEA 525 CON 23 CENTAVOS Y CFT 788 CON 81 CENTAVOS EXCEDE LA  LONGITUD MAX DEL CAMPO
55015;Coppel S.A.;2026-07-20;PRESTAMOPERSONAL;PP;Pesos;2047500;5000;12;0;0;75;,00;Todos los beneficiarios;,00;,00;Fija;,00;225000,00;Provincia de Buenos Aires;TEA 525 CON 23 CENTAVOS Y CFT 788 CON 81 CENTAVOS EXCEDE LA  LONGITUD MAX DEL CAMPO
55017;Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.;2026-08-28;16 CLP SS;16 SS;Pesos;2400000;60000;18;10000;6;82;30,00;Personas humanas en relación de dependencia;8,00;88,80;Fija;229,25;1041,00;Provincia de Buenos Aires;
55017;Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.;2026-08-28;2 CLP AN;2 AN;Pesos;10800000;324000;36;10000;6;82;30,00;Beneficiarios de cuentas de la seguridad social;8,00;99,30;Fija;162,86;861,00;Provincia de Buenos Aires;
55017;Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.;2026-08-28;1 CLP AM;1 AM;Pesos;2400000;60000;18;10000;6;82;30,00;Personas humanas en relación de dependencia;8,00;87,18;Fija;214,17;1041,00;Provincia de Buenos Aires;
55017;Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.;2026-08-28;28 CLP 24A;28 24A;Pesos;1121000;59000;18;10000;6;82;30,00;Personas humanas en relación de dependencia;8,00;64,26;Fija;191,52;923,00;Provincia de Buenos Aires;
55017;Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.;2026-08-28;3 CLP AR;3 AR;Pesos;2400000;60000;18;10000;6;82;30,00;Personas humanas en relación de dependencia;8,00;87,18;Fija;214,17;1041,00;Provincia de Buenos Aires;
55017;Cooperativa de Crédito, Consumo y Servicios Sociales La Plata Ltda.;2026-08-28;31 CLP 24S1;31 24S1;Pesos;1121000;50500;30;10000;6;80;30,00;Personas humanas en relación de dependencia;8,00;90,17;Fija;90,17;708,00;Provincia de Buenos Aires;
55018;Cooperativa de Provisión de Obras y Servicios Publicos y de Créditos Cuenca del Salado Ltda.;2026-08-27;PRESTAMOS DE CONSUMO;PP00001316;Pesos;4000000;100000;36;50000;1;70;35,00;Todos los beneficiarios;25,00;168,30;Fija;263,18;248061,00;Todo el territorio nacional;
55018;Cooperativa de Provisión de Obras y Servicios Publicos y de Créditos Cuenca del Salado Ltda.;2026-08-27;PRESTAMOS DE CONSUMO;PP00001318;Pesos;5000000;100000;36;15000;1;69;35,00;Todos los beneficiarios;10,00;157,96;Fija;183,29;203032,00;Todo el territorio nacional;
55018;Cooperativa de Provisión de Obras y Servicios Publicos y de Créditos Cuenca del Salado Ltda.;2026-08-27;PRESTAMOS DE CONSUMO;PP00001320;Pesos;3000000;50000;36;85000;1;65;35,00;Todos los beneficiarios;3,00;188,54;Fija;299,06;265256,00;Todo el territorio nacional;
55018;Cooperativa de Provisión de Obras y Servicios Publicos y de Créditos Cuenca del Salado Ltda.;2026-08-27;PRESTAMOS DE CONSUMO;PP00001319;Pesos;4000000;50000;36;80000;1;69;35,00;Todos los beneficiarios;20,00;159,41;Fija;277,72;231976,00;Todo el territorio nacional;
55020;Palmares Cooperativa de Vivienda, Crédito, Consumo y Servicios Sociales Ltda.;2026-05-14;PRESTAMOS PERSONALES;PRESTAMOS PERSONALES;Pesos;3000000;10000;40;50000;12;99;30,00;Clientes con cuenta en la entidad;,00;289,72;Fija;409,14;1328,00;Todo el territorio nacional;
55023;Credifácil S.A.F. y M.;2026-08-10;CLIENTE PREMIUM;PR;Pesos;2000000;1000;10;0;6;80;30,00;Personas humanas en relación de dependencia;,00;1089,40;Fija;1089,40;2625,00;Todo el territorio nacional;
55023;Credifácil S.A.F. y M.;2026-08-10;EMPLEADOS RENOVACION;ER;Pesos;1500000;1000;10;0;6;80;30,00;Personas humanas en relación de dependencia;,00;1705,41;Fija;1705,41;2995,00;Todo el territorio nacional;
55023;Credifácil S.A.F. y M.;2026-08-10;JUBILADOS NUEVOS;JN;Pesos;500000;1000;4;0;0;80;25,00;Beneficiarios de cuentas de la seguridad social;,00;1819,22;Fija;1819,22;4450,00;Todo el territorio nacional;
55023;Credifácil S.A.F. y M.;2026-08-10;JUBILADOS RENOVACION;JR;Pesos;1500000;1000;10;0;0;80;30,00;Beneficiarios de cuentas de la seguridad social;,00;1705,41;Fija;1705,41;2995,00;Todo el territorio nacional;
55023;Credifácil S.A.F. y M.;2026-08-10;EMPLEADOS NUEVOS;EN;Pesos;500000;1000;4;0;6;80;25,00;Personas humanas en relación de dependencia;,00;1819,22;Fija;1819,22;4450,00;Todo el territorio nacional;
55024;CREDICUOTAS CONSUMO S.A.;2022-03-17;PERSONALES  COMERCIOS;PERSON. COMERIOS;Pesos;150100;2000;24;3000;0;70;30,00;Todos los beneficiarios;10,00;319,92;Fija;319,92;1207,49;Todo el territorio nacional;
55024;CREDICUOTAS CONSUMO S.A.;2022-03-17;PERSONALES WEB;PERSONALES WEB;Pesos;30000;5000;12;4000;0;70;40,00;Todos los beneficiarios;10,00;614,93;Fija;614,93;2049,01;Todo el territorio nacional;
55024;CREDICUOTAS CONSUMO S.A.;2022-03-17;PERSONALES EFECTIVO;PERSON. EFVO.;Pesos;50100;5000;18;3000;0;70;30,00;Todos los beneficiarios;10,00;333,87;Fija;333,87;1305,29;Todo el territorio nacional;
55025;Cuotitas S.A.;2026-07-31;PRESTAMOS A EMPLEADOS DE ADMINISTRACION DE LA PROVINCIA DE SANTA FE;EMPLEADOS PUBL SANTA FE;Pesos;13000000;5000;48;0;6;65;24,00;Empleados públicos;15,00;420,15;Fija;633,06;86804,00;Todo el territorio nacional;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MIN Y CUOTA INICIAL A PLAZO MAX CADA 10000
55025;Cuotitas S.A.;2026-07-31;PRESTAMOS A EMPLEADOS DE ADMINISTRACION DE LA PROVINCIA DE RIO NEGRO;EMPLEADOS PUBL RIO NEGRO;Pesos;8000000;5000;24;0;6;65;24,00;Empleados públicos;15,00;480,08;Fija;733,69;141848,00;Todo el territorio nacional;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MIN Y CUOTA INICIAL A PLAZO MAX CADA 10000
55025;Cuotitas S.A.;2026-07-31;PRESTAMOS A EMPLEADOS DE JUSTICIA;EMP PUB TRAB DE JUSTICIA;Pesos;6000000;100000;24;0;6;65;24,00;Empleados públicos;15,00;755,16;Fija;1249,04;167929,00;Todo el territorio nacional;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MIN Y CUOTA INICIAL A PLAZO MAX CADA 10000
55025;Cuotitas S.A.;2026-07-31;PRESTAMOS DE PAGO VOLUNTARIO OTORGADOS EN COMERCIOS DE MOTO ELECTRO Y CELULARES;PVOL COMERCIOS;Pesos;20000000;5000;48;0;0;84;35,00;Todos los beneficiarios;15,00;1189,86;Fija;2082,99;173586,00;Todo el territorio nacional;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MIN Y CUOTA INICIAL A PLAZO MAX CADA 10000
55025;Cuotitas S.A.;2026-07-31;PRESTAMOS A EMPLEADOS DE ADMINISTRACION DE LA PROVINCIA DE CHUBUT;EMPLEADOS PUBL CHUBUT;Pesos;6000000;20000;24;0;6;65;24,00;Empleados públicos;15,00;755,16;Fija;1215,53;117343,00;Todo el territorio nacional;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MIN Y CUOTA INICIAL A PLAZO MAX CADA 10000
55027;ELECTRONICA MEGATONE SRL;2026-08-18;CREDITO PARA LA COMPRA FINANCIADA DE PRODUCTOS EN ELECTRONICA MEGATONE SRL; ON CITY CREDITO;Pesos;12000000;1;24;173400;3;85;70,00;Todos los beneficiarios;20,00;664,36;Fija;664,36;1229,00;Todo el territorio nacional;ITEM INFORMACION ADICIONAL PUNTO 14 NO SE COBRA COMISION SI LA CANCELACION ES TOTAL Y TRANSCURRIO LA CUARTA PARTE DEL PLAZO O 180 DIAS, DE AMBOS EL MAYOR
55028;Favanet S.A.;2026-05-04;FAVANET;FAVANET;Pesos;4000000;2000;24;400000;6;75;25,00;Todos los beneficiarios;4,00;369,88;Fija;535,13;182822,00;Provincia de Buenos Aires;
55030;Fravega S.A.C.I. e I.;2026-08-14;PRESTAMO CONSUMO;EFECTIVO;Pesos;2000000;10000;18;600000;6;80;30,00;Todos los beneficiarios;50,00;730,15;Fija;1140,00;235582,00;Todo el territorio nacional;
55034;Hogar Total S.A.;2026-08-10;CREDITO PERSONAL DE CONSUMO PARA LA COMPRA FINANCIADA DE PRODUCTOS EN HOGAR TOTAL SA;;Pesos;5000000;1;24;100000;3;80;35,00;Todos los beneficiarios;10,00;108,25;Fija;181,93;139993,00;Todo el territorio nacional;
55034;Hogar Total S.A.;2026-08-10;CREDITO PERSONAL DE CONSUMO PARA LA COMPRA FINANCIADA DE PRODUCTOS EN HOGAR TOTAL SA CUOTA ANTICIPADA;;Pesos;5000000;1;24;100000;3;80;35,00;Todos los beneficiarios;10,00;108,12;Fija;181,58;155173,00;Todo el territorio nacional;
55040;N&F Capital Markets S.A.;2026-08-05;UPCN  ACTIVOS;PP00000908;Pesos;10000000;50000;36;35000;3;65;20,00;Todos los beneficiarios;20,00;819,12;Fija;855,76;484197,00;Todo el territorio nacional;
55040;N&F Capital Markets S.A.;2026-08-05;OSTENGO;PP00000858;Pesos;800000;900;36;6200;6;82;40,00;Todos los beneficiarios;30,00;541,16;Fija;999,99;399870,00;Todo el territorio nacional;
55041;Naldo Lombardi S.A.;2025-12-31;PERSONALDINERO;DIN;Pesos;2000000;1;24;18000;6;80;30,00;Todos los beneficiarios;20,00;536,05;Fija;740,18;199498,00;Todo el territorio nacional;
55041;Naldo Lombardi S.A.;2025-12-31;PERSONALHOGAR;PER;Pesos;10000000;1;24;18000;6;80;30,00;Todos los beneficiarios;20,00;186,13;Fija;252,87;104272,00;Todo el territorio nacional;
55042;Plural Cooperativa de Crédito, Consumo y Vivienda Ltda.;2026-03-19;PRESTAMOS;PRESTAMOS;Pesos;600000;50000;12;0;0;90;30,00;Beneficiarios de cuentas de la seguridad social;,00;223,82;Fija;136,78;1488,00;Todo el territorio nacional;
55046;Schejter y Schejter S.A.;2025-02-13;CREDITO PERSONAL SCHEJTER Y SCHEJTER;CREDITO SENSEI;Pesos;3000000;1000;12;286711;6;75;30,00;Todos los beneficiarios;,00;650,00;Fija;900,00;226827,00;Todo el territorio nacional;0
55048;Sicom S.A.;2023-07-24;DESCUENTO DE HABERES SALTA;CDT;Pesos;500000;1000;24;6000;12;64;30,00;Empleados públicos;10,50;999,99;Fija;999,99;1608,00;Provincia de Salta;
55048;Sicom S.A.;2023-07-24;DESCUENTO DE HABERES JUJUY;CDT;Pesos;500000;1000;24;6000;12;64;60,00;Empleados públicos;15,00;999,99;Fija;999,99;2041,00;Provincia de Jujuy;
55048;Sicom S.A.;2023-07-24;DESCUENTO DE HABERES TUCUMAN;CDT;Pesos;500000;1000;24;6000;12;64;30,00;Empleados públicos;10,00;999,99;Fija;999,99;1906,00;Provincia de Tucumán;
55049;Surfinan S.A.;2026-08-05;CREDITOS PARA CONSUMO  BAJA;COM.ADH.B;Pesos;600000;1000;6;30000;6;78;30,00;Todos los beneficiarios;,00;398,00;Fija;398,00;2030,00;Provincia de Buenos Aires;0                      
55049;Surfinan S.A.;2026-08-05;CREDITOS PARA CONSUMO ALTA;COM.ADH.A;Pesos;250000;1000;6;30000;6;78;30,00;Todos los beneficiarios;,00;557,00;Fija;557,00;2299,00;Provincia de Buenos Aires;0  
55049;Surfinan S.A.;2026-08-05;CREDITOS PARA CONSUMO MEDIA;COM.ADH.M;Pesos;500000;1000;6;30000;6;78;30,00;Todos los beneficiarios;,00;484,00;Fija;484,00;2183,00;Provincia de Buenos Aires;0
55052;Asociación Mututal 18 de Julio;2026-08-25;MUTUAL PERSONAL PESOS;MUTUAL PP $;Pesos;2400000;250000;36;800000;12;69;30,00;Todos los beneficiarios;3,00;199,87;Fija;216,86;152800,00;Provincia de Santa Fe;TASA FIJA
55052;Asociación Mututal 18 de Julio;2026-08-25;MUTUAL PERSONAL DOLAR;MUTUAL PP USD;Dólares estadounidenses;20000;2000;24;550000;12;69;30,00;Todos los beneficiarios;3,00;19,56;Fija;21,22;9600,00;Provincia de Santa Fe;TASA FIJA
55054;Crédito Directo S.A.;2026-08-12;PRESTAMO PERSONAL DE CONSUMO DIRIGIDO;MOTO - CONSTR - TURISMO;Pesos;15000000;10000;30;0;0;79;35,00;Todos los beneficiarios;10,89;258,74;Fija;313,08;1175,00;Todo el territorio nacional;SI EL PRESTAMO HUBIERA SIDO OTORGADO CON TNA 0 POR CIENTO, NO SE APLICARA INTERES COMPENSATORIO. SIN EMBARGO, SI SE REGISTRARA MORA, EL IMPORTE VENCIDO E IMPAGO DEVENGARA UN INTERES MORATORIO EQUIVALENTE A UNA TNA 80 POR CIENTO, MAS UN INTERES PUNITORIO EQUIVALENTE AL CINCUENTA POR CIENTO DE DICHA TASA MORATORIA
55054;Crédito Directo S.A.;2026-08-12;PRESTAMO PERSONAL DE EFECTIVO;EFT CL NUEVO;Pesos;3000000;10000;12;0;0;83;35,00;Todos los beneficiarios;10,89;370,60;Fija;448,40;1645,00;Todo el territorio nacional;
55054;Crédito Directo S.A.;2026-08-12;PRESTAMO PERSONAL DE EFECTIVO;EFT CL RENOVADOR;Pesos;4000000;10000;12;0;0;83;35,00;Todos los beneficiarios;10,89;414,07;Fija;501,02;1812,00;Todo el territorio nacional;
55054;Crédito Directo S.A.;2026-08-12;PRESTAMO PERSONAL DE CONSUMO DIRIGIDO;ELECTRO - OTROS;Pesos;8000000;10000;24;0;0;79;35,00;Todos los beneficiarios;10,89;369,32;Fija;369,32;1619,00;Todo el territorio nacional;SI EL PRESTAMO HUBIERA SIDO OTORGADO CON TNA 0 POR CIENTO, NO SE APLICARA INTERES COMPENSATORIO. SIN EMBARGO, SI SE REGISTRARA MORA, EL IMPORTE VENCIDO E IMPAGO DEVENGARA UN INTERES MORATORIO EQUIVALENTE A UNA TNA 80 POR CIENTO, MAS UN INTERES PUNITORIO EQUIVALENTE AL CINCUENTA POR CIENTO DE DICHA TASA MORATORIA
55057;Mutual Integral de Servicios;2026-06-30;PRESTAMO (L43) - MIS - CUAD - PROMO;LINEA 43;Pesos;10000000;50000;60;0;12;75;48,00;Empleados públicos;8,00;102,50;Fija;115,60;697,00;Provincia de Santa Fe;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MAX
55057;Mutual Integral de Servicios;2026-06-30;PRESTAMO (L38) - MUPCN;LINEA 38;Pesos;10000000;50000;60;0;12;75;48,00;Empleados públicos;8,00;102,50;Fija;115,60;697,00;Provincia de Santa Fe;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MAX
55057;Mutual Integral de Servicios;2026-06-30;PRESTAMO (L44) - MIS - CUAD - PASIVOS;LINEA 44 PASIVOS;Pesos;10000000;50000;60;0;0;78;50,00;Beneficiarios de cuentas de la seguridad social;8,00;109,50;Fija;119,50;728,00;Provincia de Santa Fe;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MAX
55057;Mutual Integral de Servicios;2026-06-30;PRESTAMO (L34) - MIS - CUAD;LINEA 34;Pesos;10000000;50000;60;0;12;75;48,00;Empleados públicos;8,00;102,50;Fija;115,60;697,00;Provincia de Santa Fe;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MAX
55057;Mutual Integral de Servicios;2026-06-30;PRESTAMO (L35) - MIS - CUAD2;LINEA 35;Pesos;10000000;50000;60;0;12;75;48,00;Empleados públicos;8,00;102,50;Fija;115,60;697,00;Provincia de Santa Fe;SE INFORMA TEA MAX Y CFT MAX CORRESPONDIENTE AL PLAZO MAX
55060;Gran Cooperativa de Crédito, Vivienda, Consumo y Servicios Sociales Limitada;2026-08-05;PRESTAMOS PERSONALES;PP00101633;Pesos;250000;100000;36;25000;1;70;20,00;Todos los beneficiarios;25,00;72,84;Fija;113,95;144209,00;Todo el territorio nacional;
55060;Gran Cooperativa de Crédito, Vivienda, Consumo y Servicios Sociales Limitada;2026-08-05;PRESTAMOS PERSONALES;PP00101527;Pesos;4000000;100000;48;95000;6;65;40,00;Todos los beneficiarios;10,00;86,80;Fija;116,70;137770,00;Todo el territorio nacional;
55060;Gran Cooperativa de Crédito, Vivienda, Consumo y Servicios Sociales Limitada;2026-08-05;PRESTAMOS PERSONALES;PP00101639;Pesos;6500000;90000;36;363000;6;65;30,00;Todos los beneficiarios;35,00;88,53;Fija;163,96;180735,00;Todo el territorio nacional;
55061;Radio Sapienza S.A.;2026-08-03;;;;;;;;;;;;;;;;;;                                                                                                                                                                                                                                           
55067;Amargot Créditos y Servicios S.A.;2026-03-16;PRESTAMOS PERSONALES CONSUMO;PP00000405;Pesos;800000;1000;24;6200;1;89;40,00;Todos los beneficiarios;25,00;525,04;Fija;999,99;404423,00;Todo el territorio nacional;
55072;Cooperativa de vivienda, crédito y consumo Bicentenaria Ltda.;2021-09-10;PRESTAMOS;PRES;Pesos;100000;10000;36;10000;6;62;30,00;Personas humanas en relación de dependencia;20,00;198,50;Fija;198,50;1697,33;Todo el territorio nacional;
55073;Oportunidad Microfinanciera Latinoamericana OMLA S.A.;2026-08-11;MICRO OPORTUNO;OPORTUNO;Pesos;12000000;5000;12;0;12;70;20,00;Personas humanas Monotributistas;,00;180,00;Variable;231,00;2758,00;Todo el territorio nacional;0
55073;Oportunidad Microfinanciera Latinoamericana OMLA S.A.;2026-08-11;MICRO INICIATIVA;INICIATIVA;Pesos;12000000;5000;12;0;12;70;20,00;Personas humanas Monotributistas;,00;126,10;Variable;212,00;2600,00;Todo el territorio nacional;0
55073;Oportunidad Microfinanciera Latinoamericana OMLA S.A.;2026-08-11;MICRO SOLIDARIO;SOLIDARIO NUEVO;Pesos;500000;5000;10;0;12;70;20,00;Personas humanas Monotributistas;,00;180,00;Variable;230,00;3583,00;Todo el territorio nacional;0
55073;Oportunidad Microfinanciera Latinoamericana OMLA S.A.;2026-08-11;MICRO POTENCIA;POTENCIA;Pesos;12000000;5000;12;0;12;70;20,00;Personas humanas Monotributistas;,00;99,00;Variable;128,00;1900,00;Todo el territorio nacional;0
55073;Oportunidad Microfinanciera Latinoamericana OMLA S.A.;2026-08-11;NANO CREDITO;NANO;Pesos;12000000;5000;12;0;12;70;20,00;Personas humanas Monotributistas;,00;180,00;Variable;227,00;2447,00;Todo el territorio nacional;0
55073;Oportunidad Microfinanciera Latinoamericana OMLA S.A.;2026-08-11;MICRO AGENCIA;MIXTO;Pesos;8000000;5000;12;0;12;70;20,00;Personas humanas Monotributistas;,00;135,00;Variable;185,00;2375,00;Todo el territorio nacional;0
55075;IDUN INVERSIONES S.A.;2026-07-23;CONSUMO POR CODIGO DE DESCUENTO BUENOS AIRES;CONSUMO BUENOS AIRES;Pesos;310000;4000;40;600000;12;69;30,00;Empleados públicos;,00;934,94;Fija;934,94;2170,00;Provincia de Buenos Aires;
55075;IDUN INVERSIONES S.A.;2026-07-23;CONSUMO POR CODIGO DE DESCUENTO CABA;CONSUMO CABA;Pesos;310000;4000;40;600000;12;69;30,00;Empleados públicos;,00;934,94;Fija;934,94;2170,00;Ciudad Autónoma de Buenos Aires;
55076;Grupo Prestafácil S.A.;2026-04-22;AGENTES ACTIVOS MISIONES;ACTIVOS;Pesos;5000000;10000;36;0;6;65;39,00;Empleados públicos;,00;209,40;Fija;209,40;111600,00;Provincia de Misiones;
55076;Grupo Prestafácil S.A.;2026-04-22;AGENTES PASIVOS MISIONES;PASIVOS;Pesos;5000000;10000;36;0;0;81;39,00;Beneficiarios de cuentas de la seguridad social;,00;209,40;Fija;209,40;111600,00;Provincia de Misiones;
55077;Asociación Mutual de Escribanos;2026-04-16;AY. EC. CONVENIOS FRANCES (I);CONV F(I);Pesos;5000000;1;36;0;0;100;35,00;Todos los beneficiarios;,00;105,00;Fija;105,00;,00;Todo el territorio nacional;
55077;Asociación Mutual de Escribanos;2026-04-16;PLAN AMERICANO U$S;AM.U$S;Dólares estadounidenses;5000000;1;36;0;0;100;35,00;Todos los beneficiarios;,00;,50;Fija;,50;,00;Todo el territorio nacional;
55080;DAP Cooperativa de Crédito y Consumo Ltda.;2026-07-17;167;DEC14;Pesos;5000000;10000;36;372400;0;65;30,00;Empleados públicos;4,00;86,38;Fija;124,08;12560,00;Todo el territorio nacional;
55083;AGL CAPITAL S.A.;2026-08-05;CHUBUT DESCUENTO DE HABERES;CHUBUT HABERES;Pesos;5000000;5000;36;100000;6;65;40,00;Empleados públicos;15,00;159,45;Fija;214,07;10208,00;Provincia del Chubut;TEA CON IVA INCLUIDO
55083;AGL CAPITAL S.A.;2026-08-05;MENDOZA DESC DE HAB - FLEX;MENDOZA ;Pesos;5000000;5000;36;100000;6;65;40,00;Empleados públicos;15,00;197,48;Fija;269,58;11585,00;Provincia de Mendoza;TEA CON IVA INCLUIDO
55083;AGL CAPITAL S.A.;2026-08-05;MENDOZA DESC DE HAB - PREMIUM;MENDOZA ;Pesos;5000000;5000;36;100000;6;65;40,00;Empleados públicos;15,00;157,70;Fija;211,55;10142,00;Provincia de Mendoza;TEA CON IVA INCLUIDO
55083;AGL CAPITAL S.A.;2026-08-05;NEUQUEN DESCUENTO DE HABERES;NEUQUEN HABERES;Pesos;3500000;5000;24;100000;6;65;18,00;Empleados públicos;15,00;220,75;Fija;304,17;12991,00;Provincia del Neuquén;TEA CON IVA INCLUIDO
55085;Moni Online S.A.;2026-08-21;PRESTAMO CONSUMO PERSONAL A EMPLEADOS Y JUBILADOS;PCPEYJ;Pesos;3414125;12000;12;0;3;80;30,00;Personas humanas en relación de dependencia;,00;4846,39;Fija;4846,39;298851,00;Todo el territorio nacional;PARA MAYOR INFORMACION VER TARIFARIO COMPLETO
55085;Moni Online S.A.;2026-08-21;PRESTAMO CONSUMO PERSONAL PAGO DE SERVICIOS Y RECARGAS;PCPPSYR;Pesos;620750;3000;6;0;0;80;30,00;Todos los beneficiarios;,00;7046,70;Fija;7046,70;394974,00;Todo el territorio nacional;PARA MAYOR INFORMACION VER TARIFARIO COMPLETO
55085;Moni Online S.A.;2026-08-21;PRESTAMO CONSUMO PERSONAL A NO EMPLEADOS;PCPNE;Pesos;2060500;12000;12;0;0;80;25,00;Todos los beneficiarios;,00;5286,47;Fija;5286,47;301251,00;Todo el territorio nacional;PARA MAYOR INFORMACION VER TARIFARIO COMPLETO
55086;Asociación Mutual Asis;2022-03-07;AYUDAS ECONOMICAS PERSONALES MUTUAL ASIS BUENOS AIRES;AYUDAS ECON BS AS;Pesos;200000;1000;24;0;0;100;20,00;Todos los beneficiarios;,00;137,94;Fija;137,94;911,00;Todo el territorio nacional;AYUDAS ECONOMICAS A SOLA FIRMA
55087;Préstamos Bam S.A.;2026-02-06; MUNICIPALIDAD PARANA;MUNPARANA;Pesos;2000000;1000;12;0;3;65;30,00;Empleados públicos;15,23;574,17;Fija;574,17;275649,00;Provincia de Entre Ríos;
55087;Préstamos Bam S.A.;2026-02-06; PLAN BAM 6 1;PLANBAM61;Pesos;2000000;1000;6;0;3;65;30,00;Empleados públicos;15,23;623,38;Fija;623,38;310992,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; PLAN BAM 9, 12, 18 Y 24;PLANBAM91218Y24;Pesos;2000000;1000;24;0;3;65;30,00;Empleados públicos;15,23;675,85;Fija;675,85;223740,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; MUNICIPALES MENDOZA;MUNMENDOZA;Pesos;2000000;1000;12;0;3;65;30,00;Empleados públicos;15,23;574,17;Fija;574,17;275649,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; PLAN BAM 6;PLANBAM6;Pesos;2000000;1000;6;0;3;65;30,00;Empleados públicos;15,23;574,17;Fija;574,17;304805,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; PLAN BAM 3 1;PLANBAM31;Pesos;2000000;1000;3;0;3;65;30,00;Empleados públicos;15,23;528,06;Fija;528,06;472689,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; PLAN BAM 3;PLANBAM3;Pesos;2000000;1000;3;0;3;65;30,00;Empleados públicos;15,23;484,85;Fija;484,85;466598,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; PLAN BAM 9, 12, 18 Y 24 1;PLANBAM91218Y241;Pesos;2000000;1000;24;0;3;65;30,00;Empleados públicos;15,23;731,81;Fija;731,81;231744,00;Provincia de Mendoza;
55087;Préstamos Bam S.A.;2026-02-06; ACTIVOS MENDOZA DESCENTRALIZADOS;ACTMENDDESCENTRAL;Pesos;2000000;1000;12;0;3;65;30,00;Empleados públicos;15,23;574,17;Fija;574,17;275649,00;Provincia de Mendoza;
